estimator,runtime_sec,ate_hat,ate_bias,ate_stderr,ate_coverage,cate_rmse,cate_coverage,rep,n,error
XLearner-GBR,158.866,0.057,0.0,0.092,1,0.096,0.832,33,4098,
XLearner-Linear,117.282,0.054,-0.002,0.036,1,0.037,0.872,33,4098,
GbrDML,260.467,0.091,0.034,0.131,1,0.139,0.86,33,4098,
LassoDML,229.577,0.09,0.034,0.009,0,0.039,0.128,33,4098,
LinearDML,2.17,0.091,0.035,0.009,0,0.062,0.859,33,4098,
GbrDR,274.274,0.097,0.04,0.144,1,0.168,0.841,33,4098,
LassoDR,235.048,0.097,0.04,0.008,0,0.045,0.069,33,4098,
LinearDR,2.223,0.097,0.04,0.049,1,0.069,0.857,33,4098,
CausalForest,26.339,0.087,0.031,0.009,0,0.044,0.786,33,4098,
BayesianCausalForest,268.183,0.093,0.037,0.011,0,0.044,0.693,33,4098,
XLearner-GBR,153.834,0.064,0.008,0.089,1,0.115,0.798,9,4098,
XLearner-Linear,112.242,0.064,0.008,0.035,1,0.048,0.84,9,4098,
GbrDML,261.883,0.08,0.024,0.124,1,0.138,0.823,9,4098,
LassoDML,220.921,0.079,0.022,0.007,0,0.03,0.238,9,4098,
LinearDML,2.08,0.08,0.024,0.009,0,0.056,0.833,9,4098,
GbrDR,266.049,0.082,0.026,0.132,1,0.158,0.803,9,4098,
LassoDR,225.45,0.082,0.026,0.008,0,0.035,0.209,9,4098,
LinearDR,2.133,0.082,0.026,0.046,1,0.061,0.843,9,4098,
CausalForest,26.972,0.081,0.025,0.009,0,0.042,0.866,9,4098,
BayesianCausalForest,268.484,0.079,0.023,0.01,0,0.033,0.817,9,4098,
XLearner-GBR,154.58,0.045,-0.011,0.087,1,0.088,0.85,49,4098,
XLearner-Linear,113.887,0.046,-0.01,0.033,1,0.036,0.857,49,4098,
GbrDML,255.642,0.064,0.008,0.117,1,0.124,0.865,49,4098,
LassoDML,216.361,0.065,0.008,0.012,1,0.022,0.524,49,4098,
LinearDML,2.063,0.065,0.009,0.009,1,0.049,0.933,49,4098,
GbrDR,261.182,0.067,0.011,0.128,1,0.139,0.847,49,4098,
LassoDR,221.111,0.067,0.011,0.01,1,0.023,0.469,49,4098,
LinearDR,2.113,0.067,0.011,0.046,1,0.053,0.937,49,4098,
CausalForest,24.765,0.065,0.009,0.009,1,0.035,0.872,49,4098,
BayesianCausalForest,250.925,0.055,-0.001,0.011,1,0.021,0.964,49,4098,
XLearner-GBR,166.489,0.038,-0.018,0.092,1,0.101,0.833,17,4098,
XLearner-Linear,123.303,0.039,-0.017,0.037,1,0.033,0.869,17,4098,
GbrDML,277.874,0.067,0.011,0.13,1,0.154,0.816,17,4098,
LassoDML,242.353,0.065,0.009,0.007,1,0.036,0.147,17,4098,
