estimator,runtime_sec,ate_hat,ate_bias,ate_stderr,ate_coverage,cate_rmse,cate_bias_abs_mean,cate_ci_width_mean,cate_coverage,rep,n,error
CausalForest_min5_trees500,8.95,0.041,-0.013,0.009,1,0.041,0.03,0.136,0.896,33,4098,
CausalForest_min5_trees1000,12.207,0.043,-0.011,0.009,1,0.04,0.03,0.124,0.868,33,4098,
CausalForest_min5_trees2000,24.296,0.043,-0.011,0.009,1,0.041,0.03,0.119,0.848,33,4098,
CausalForest_min5_trees4000,50.662,0.043,-0.011,0.009,1,0.04,0.03,0.115,0.851,33,4098,
CausalForest_min10_trees500,8.696,0.041,-0.013,0.009,1,0.035,0.027,0.102,0.848,33,4098,
CausalForest_min10_trees1000,11.632,0.042,-0.011,0.009,1,0.034,0.026,0.095,0.824,33,4098,
CausalForest_min10_trees2000,22.36,0.042,-0.011,0.009,1,0.034,0.026,0.094,0.824,33,4098,
CausalForest_min10_trees4000,45.646,0.043,-0.011,0.009,1,0.033,0.026,0.094,0.829,33,4098,
CausalForest_min20_trees500,9.222,0.041,-0.013,0.009,1,0.03,0.024,0.078,0.785,33,4098,
CausalForest_min20_trees1000,11.419,0.042,-0.011,0.009,1,0.029,0.023,0.075,0.789,33,4098,
CausalForest_min20_trees2000,20.782,0.042,-0.011,0.009,1,0.029,0.023,0.078,0.809,33,4098,
CausalForest_min20_trees4000,42.162,0.043,-0.011,0.009,1,0.029,0.022,0.078,0.816,33,4098,
CausalForest_min40_trees500,8.134,0.041,-0.013,0.009,1,0.028,0.022,0.068,0.77,33,4098,
CausalForest_min40_trees1000,11.39,0.042,-0.011,0.009,1,0.026,0.021,0.065,0.775,33,4098,
CausalForest_min40_trees2000,18.337,0.042,-0.012,0.009,1,0.026,0.02,0.066,0.794,33,4098,
CausalForest_min40_trees4000,36.966,0.043,-0.011,0.009,1,0.026,0.02,0.068,0.823,33,4098,
CausalForest_min80_trees500,6.573,0.041,-0.013,0.009,1,0.026,0.02,0.055,0.732,33,4098,
CausalForest_min80_trees1000,11.11,0.042,-0.012,0.009,1,0.025,0.019,0.055,0.753,33,4098,
CausalForest_min80_trees2000,18.157,0.042,-0.012,0.009,1,0.025,0.019,0.054,0.751,33,4098,
CausalForest_min80_trees4000,34.893,0.043,-0.011,0.009,1,0.025,0.019,0.053,0.748,33,4098,
CausalForest_min5_trees500,9.261,0.036,-0.018,0.009,0,0.036,0.027,0.129,0.9,9,4098,
CausalForest_min5_trees1000,12.178,0.036,-0.017,0.009,0,0.036,0.027,0.12,0.878,9,4098,
CausalForest_min5_trees2000,25.642,0.037,-0.017,0.009,0,0.036,0.027,0.112,0.857,9,4098,
CausalForest_min5_trees4000,51.013,0.037,-0.017,0.009,0,0.035,0.027,0.11,0.858,9,4098,
CausalForest_min10_trees500,7.456,0.036,-0.018,0.009,0,0.031,0.024,0.101,0.872,9,4098,
CausalForest_min10_trees1000,11.682,0.036,-0.017,0.009,0,0.03,0.023,0.092,0.845,9,4098,
CausalForest_min10_trees2000,22.627,0.037,-0.017,0.009,0,0.03,0.024,0.09,0.836,9,4098,
CausalForest_min10_trees4000,47.656,0.037,-0.017,0.009,0,0.031,0.024,0.086,0.817,9,4098,
CausalForest_min20_trees500,7.775,0.036,-0.018,0.009,0,0.028,0.022,0.074,0.799,9,4098,
CausalForest_min20_trees1000,10.948,0.036,-0.017,0.009,0,0.028,0.022,0.068,0.764,9,4098,
CausalForest_min20_trees2000,21.544,0.037,-0.017,0.009,0,0.028,0.022,0.068,0.771,9,4098,
CausalForest_min20_trees4000,43.123,0.037,-0.017,0.009,0,0.028,0.022,0.07,0.781,9,4098,
CausalForest_min40_trees500,7.627,0.036,-0.018,0.009,0,0.027,0.021,0.06,0.732,9,4098,
CausalForest_min40_trees1000,10.399,0.036,-0.017,0.009,0,0.026,0.021,0.06,0.739,9,4098,
CausalForest_min40_trees2000,19.019,0.037,-0.017,0.009,0,0.027,0.021,0.059,0.736,9,4098,
CausalForest_min40_trees4000,39.025,0.037,-0.017,0.009,0,0.027,0.021,0.06,0.744,9,4098,
CausalForest_min80_trees500,7.051,0.036,-0.018,0.009,0,0.027,0.02,0.056,0.73,9,4098,
CausalForest_min80_trees1000,9.016,0.036,-0.018,0.009,0,0.026,0.02,0.054,0.731,9,4098,
CausalForest_min80_trees2000,17.876,0.037,-0.017,0.009,0,0.027,0.02,0.053,0.721,9,4098,
