estimator,runtime_sec,ate_hat,ate_bias,ate_stderr,ate_coverage,cate_rmse,cate_coverage,rep,n,error
XLearner-GBR,157.571,0.022,-0.032,0.083,1,0.095,0.792,33,4098,
XLearner-Linear,116.505,0.022,-0.032,0.036,1,0.039,0.789,33,4098,
GbrDML,260.244,0.038,-0.016,0.112,1,0.127,0.807,33,4098,
LassoDML,224.062,0.038,-0.015,0.008,0,0.037,0.233,33,4098,
LinearDML,2.116,0.038,-0.016,0.008,1,0.051,0.842,33,4098,
GbrDR,265.254,0.041,-0.013,0.126,1,0.156,0.78,33,4098,
LassoDR,228.566,0.041,-0.013,0.008,1,0.025,0.474,33,4098,
LinearDR,2.214,0.041,-0.013,0.049,1,0.055,0.907,33,4098,
CausalForest,25.09,0.043,-0.011,0.009,1,0.041,0.848,33,4098,
BayesianCausalForest,266.951,0.033,-0.021,0.01,0,0.03,0.844,33,4098,
XLearner-GBR,163.804,0.011,-0.043,0.08,1,0.094,0.827,9,4098,
XLearner-Linear,121.051,0.013,-0.041,0.034,1,0.046,0.658,9,4098,
GbrDML,286.596,0.033,-0.02,0.109,1,0.125,0.831,9,4098,
LassoDML,247.734,0.035,-0.019,0.008,0,0.034,0.225,9,4098,
LinearDML,2.351,0.034,-0.019,0.008,0,0.051,0.831,9,4098,
GbrDR,293.017,0.039,-0.015,0.119,1,0.138,0.812,9,4098,
LassoDR,257.192,0.039,-0.015,0.008,1,0.025,0.353,9,4098,
LinearDR,2.417,0.039,-0.015,0.044,1,0.051,0.883,9,4098,
CausalForest,28.263,0.037,-0.017,0.009,0,0.036,0.857,9,4098,
BayesianCausalForest,266.698,0.035,-0.018,0.009,0,0.028,0.863,9,4098,
XLearner-GBR,168.096,0.027,-0.027,0.086,1,0.1,0.817,49,4098,
XLearner-Linear,123.662,0.022,-0.032,0.034,1,0.039,0.683,49,4098,
GbrDML,275.632,0.045,-0.009,0.116,1,0.143,0.768,49,4098,
LassoDML,239.182,0.046,-0.008,0.007,1,0.023,0.458,49,4098,
LinearDML,2.249,0.045,-0.009,0.009,1,0.041,0.936,49,4098,
GbrDR,285.176,0.044,-0.01,0.141,1,0.143,0.8,49,4098,
LassoDR,245.234,0.044,-0.01,0.007,1,0.024,0.394,49,4098,
