estimator,runtime_sec,ate_hat,ate_bias,ate_stderr,ate_coverage,cate_rmse,cate_coverage,rep,n,error
CausalForest_min5_trees500,9.75,0.041,-0.013,0.009,1,0.041,0.896,33,4098,
CausalForest_min5_trees1000,12.5,0.043,-0.011,0.009,1,0.04,0.868,33,4098,
CausalForest_min5_trees2000,25.099,0.043,-0.011,0.009,1,0.041,0.848,33,4098,
CausalForest_min5_trees4000,50.194,0.043,-0.011,0.009,1,0.04,0.851,33,4098,
CausalForest_min10_trees500,8.442,0.041,-0.013,0.009,1,0.035,0.848,33,4098,
CausalForest_min10_trees1000,11.339,0.042,-0.011,0.009,1,0.034,0.824,33,4098,
CausalForest_min10_trees2000,22.202,0.042,-0.011,0.009,1,0.034,0.824,33,4098,
CausalForest_min10_trees4000,45.782,0.043,-0.011,0.009,1,0.033,0.829,33,4098,
CausalForest_min20_trees500,9.619,0.041,-0.013,0.009,1,0.03,0.785,33,4098,
CausalForest_min20_trees1000,11.169,0.042,-0.011,0.009,1,0.029,0.789,33,4098,
CausalForest_min20_trees2000,21.141,0.042,-0.011,0.009,1,0.029,0.809,33,4098,
CausalForest_min20_trees4000,41.704,0.043,-0.011,0.009,1,0.029,0.816,33,4098,
CausalForest_min40_trees500,7.962,0.041,-0.013,0.009,1,0.028,0.77,33,4098,
CausalForest_min40_trees1000,11.005,0.042,-0.011,0.009,1,0.026,0.775,33,4098,
CausalForest_min40_trees2000,18.445,0.042,-0.012,0.009,1,0.026,0.794,33,4098,
CausalForest_min40_trees4000,37.301,0.043,-0.011,0.009,1,0.026,0.823,33,4098,
CausalForest_min80_trees500,6.701,0.041,-0.013,0.009,1,0.026,0.732,33,4098,
CausalForest_min80_trees1000,10.557,0.042,-0.012,0.009,1,0.025,0.753,33,4098,
CausalForest_min80_trees2000,17.909,0.042,-0.012,0.009,1,0.025,0.751,33,4098,
CausalForest_min80_trees4000,33.539,0.043,-0.011,0.009,1,0.025,0.748,33,4098,
CausalForest_min5_trees500,9.647,0.036,-0.018,0.009,0,0.036,0.9,9,4098,
CausalForest_min5_trees1000,12.675,0.036,-0.017,0.009,0,0.036,0.878,9,4098,
CausalForest_min5_trees2000,25.383,0.037,-0.017,0.009,0,0.036,0.857,9,4098,
CausalForest_min5_trees4000,50.356,0.037,-0.017,0.009,0,0.035,0.858,9,4098,
CausalForest_min10_trees500,6.762,0.036,-0.018,0.009,0,0.031,0.872,9,4098,
CausalForest_min10_trees1000,11.847,0.036,-0.017,0.009,0,0.03,0.845,9,4098,
CausalForest_min10_trees2000,22.614,0.037,-0.017,0.009,0,0.03,0.836,9,4098,
CausalForest_min10_trees4000,47.208,0.037,-0.017,0.009,0,0.031,0.817,9,4098,
CausalForest_min20_trees500,6.933,0.036,-0.018,0.009,0,0.028,0.799,9,4098,
CausalForest_min20_trees1000,10.799,0.036,-0.017,0.009,0,0.028,0.764,9,4098,
CausalForest_min20_trees2000,20.096,0.037,-0.017,0.009,0,0.028,0.771,9,4098,
CausalForest_min20_trees4000,40.991,0.037,-0.017,0.009,0,0.028,0.781,9,4098,
CausalForest_min40_trees500,7.831,0.036,-0.018,0.009,0,0.027,0.732,9,4098,
CausalForest_min40_trees1000,10.391,0.036,-0.017,0.009,0,0.026,0.739,9,4098,
CausalForest_min40_trees2000,18.677,0.037,-0.017,0.009,0,0.027,0.736,9,4098,
CausalForest_min40_trees4000,38.38,0.037,-0.017,0.009,0,0.027,0.744,9,4098,
CausalForest_min80_trees500,6.918,0.036,-0.018,0.009,0,0.027,0.73,9,4098,
CausalForest_min80_trees1000,9.547,0.036,-0.018,0.009,0,0.026,0.731,9,4098,
CausalForest_min80_trees2000,17.695,0.037,-0.017,0.009,0,0.027,0.721,9,4098,
CausalForest_min80_trees4000,34.167,0.037,-0.017,0.009,0,0.027,0.702,9,4098,
CausalForest_min5_trees500,8.872,0.047,-0.007,0.009,1,0.037,0.904,49,4098,
