estimator,n_reps,runtime_mean_sec,runtime_sd_sec,ate_rmse,ate_bias_mean,ate_bias_sd,ate_stderr_mean,ate_coverage,cate_rmse_mean,cate_rmse_sd,cate_coverage_mean
CausalForest_min10_trees1000,50,11.751,0.441,0.009,0.0,0.009,0.009,0.92,0.031,0.004,0.852
CausalForest_min10_trees2000,50,22.571,0.801,0.009,0.0,0.009,0.009,0.94,0.031,0.004,0.843
CausalForest_min10_trees4000,50,45.989,1.807,0.009,0.0,0.009,0.009,0.94,0.031,0.004,0.844
CausalForest_min10_trees500,50,7.139,0.86,0.009,-0.0,0.009,0.009,0.94,0.031,0.004,0.869
CausalForest_min20_trees1000,50,11.194,0.558,0.009,0.0,0.009,0.009,0.92,0.027,0.004,0.818
CausalForest_min20_trees2000,50,20.823,0.757,0.009,0.0,0.009,0.009,0.94,0.027,0.004,0.817
CausalForest_min20_trees4000,50,42.109,1.966,0.009,0.0,0.009,0.009,0.94,0.027,0.004,0.823
CausalForest_min20_trees500,50,7.002,1.218,0.009,-0.0,0.009,0.009,0.94,0.027,0.004,0.83
CausalForest_min40_trees1000,50,10.33,0.65,0.009,0.0,0.009,0.009,0.92,0.025,0.003,0.789
CausalForest_min40_trees2000,50,18.873,0.729,0.009,0.0,0.009,0.009,0.94,0.025,0.003,0.792
CausalForest_min40_trees4000,50,37.76,1.635,0.009,0.0,0.009,0.009,0.94,0.025,0.003,0.803
CausalForest_min40_trees500,50,6.254,0.966,0.009,-0.0,0.009,0.009,0.94,0.025,0.003,0.788
CausalForest_min5_trees1000,50,12.711,0.544,0.009,0.0,0.009,0.009,0.92,0.036,0.004,0.889
CausalForest_min5_trees2000,50,24.734,0.818,0.009,0.0,0.009,0.009,0.94,0.036,0.004,0.871
CausalForest_min5_trees4000,50,50.201,1.846,0.009,0.0,0.009,0.009,0.94,0.036,0.004,0.865
CausalForest_min5_trees500,50,8.835,1.198,0.009,-0.0,0.009,0.009,0.94,0.037,0.004,0.908
CausalForest_min80_trees1000,50,9.449,0.707,0.009,-0.0,0.009,0.009,0.92,0.023,0.003,0.752
CausalForest_min80_trees2000,50,17.553,0.964,0.009,0.0,0.009,0.009,0.94,0.023,0.003,0.755
CausalForest_min80_trees4000,50,34.308,1.587,0.009,0.0,0.009,0.009,0.94,0.023,0.003,0.761
CausalForest_min80_trees500,50,5.679,0.755,0.009,-0.0,0.009,0.009,0.94,0.023,0.003,0.747
