estimator,n_reps,runtime_mean_sec,runtime_sd_sec,ate_rmse,ate_bias_mean,ate_bias_sd,ate_stderr_mean,ate_coverage,cate_rmse_mean,cate_rmse_sd,cate_coverage_mean
BayesianCausalForest,50,260.604,9.557,0.023,0.021,0.01,0.011,0.48,0.033,0.007,0.855
CausalForest,50,25.283,1.797,0.027,0.026,0.008,0.009,0.18,0.044,0.006,0.799
GbrDML,50,262.752,7.683,0.026,0.025,0.009,0.125,1.0,0.14,0.009,0.826
GbrDR,50,269.748,7.323,0.028,0.027,0.01,0.132,1.0,0.153,0.012,0.813
LassoDML,50,224.981,7.9,0.025,0.024,0.009,0.01,0.28,0.037,0.009,0.262
LassoDR,50,230.517,8.435,0.028,0.027,0.01,0.008,0.14,0.041,0.009,0.247
LinearDML,50,2.143,0.069,0.026,0.025,0.009,0.009,0.24,0.06,0.009,0.837
LinearDR,50,2.201,0.08,0.028,0.027,0.01,0.046,1.0,0.064,0.009,0.852
XLearner-GBR,50,158.592,4.332,0.009,-0.001,0.009,0.088,1.0,0.1,0.011,0.829
XLearner-Linear,50,116.444,3.837,0.008,-0.001,0.008,0.035,1.0,0.04,0.008,0.855
