estimator,n_reps,runtime_mean_sec,runtime_sd_sec,ate_rmse,ate_bias_mean,ate_bias_sd,ate_stderr_mean,ate_coverage,cate_rmse_mean,cate_rmse_sd,cate_bias_abs_mean_mean,cate_bias_abs_mean_sd,cate_ci_width_mean_mean,cate_ci_width_mean_sd,cate_coverage_mean
CausalForest_min10_trees1000,50,11.859,0.376,0.009,0.0,0.009,0.009,0.92,0.031,0.004,0.024,0.003,0.096,0.004,0.852
CausalForest_min10_trees2000,50,22.879,0.671,0.009,0.0,0.009,0.009,0.94,0.031,0.004,0.024,0.003,0.092,0.004,0.843
CausalForest_min10_trees4000,50,46.544,1.657,0.009,0.0,0.009,0.009,0.94,0.031,0.004,0.024,0.003,0.091,0.005,0.844
CausalForest_min10_trees500,50,7.212,0.846,0.009,-0.0,0.009,0.009,0.94,0.031,0.004,0.024,0.003,0.102,0.004,0.869
CausalForest_min20_trees1000,50,11.215,0.496,0.009,0.0,0.009,0.009,0.92,0.027,0.004,0.021,0.003,0.077,0.005,0.818
CausalForest_min20_trees2000,50,21.116,0.782,0.009,0.0,0.009,0.009,0.94,0.027,0.004,0.021,0.003,0.075,0.005,0.817
CausalForest_min20_trees4000,50,42.682,1.642,0.009,0.0,0.009,0.009,0.94,0.027,0.004,0.021,0.003,0.075,0.005,0.823
CausalForest_min20_trees500,50,6.939,1.081,0.009,-0.0,0.009,0.009,0.94,0.027,0.004,0.021,0.003,0.08,0.004,0.83
CausalForest_min40_trees1000,50,10.394,0.653,0.009,0.0,0.009,0.009,0.92,0.025,0.003,0.019,0.003,0.064,0.006,0.789
CausalForest_min40_trees2000,50,18.99,0.707,0.009,0.0,0.009,0.009,0.94,0.025,0.003,0.019,0.003,0.064,0.006,0.792
CausalForest_min40_trees4000,50,38.429,1.62,0.009,0.0,0.009,0.009,0.94,0.025,0.003,0.019,0.003,0.064,0.006,0.803
CausalForest_min40_trees500,50,6.426,0.982,0.009,-0.0,0.009,0.009,0.94,0.025,0.003,0.019,0.003,0.065,0.006,0.788
CausalForest_min5_trees1000,50,12.648,0.452,0.009,0.0,0.009,0.009,0.92,0.036,0.004,0.028,0.003,0.125,0.004,0.889
CausalForest_min5_trees2000,50,25.002,0.799,0.009,0.0,0.009,0.009,0.94,0.036,0.004,0.028,0.003,0.118,0.004,0.871
CausalForest_min5_trees4000,50,50.868,1.479,0.009,0.0,0.009,0.009,0.94,0.036,0.004,0.028,0.003,0.114,0.004,0.865
CausalForest_min5_trees500,50,8.566,0.952,0.009,-0.0,0.009,0.009,0.94,0.037,0.004,0.028,0.003,0.135,0.004,0.908
CausalForest_min80_trees1000,50,9.348,0.688,0.009,-0.0,0.009,0.009,0.92,0.023,0.003,0.018,0.003,0.054,0.006,0.752
CausalForest_min80_trees2000,50,17.555,0.943,0.009,0.0,0.009,0.009,0.94,0.023,0.003,0.018,0.003,0.054,0.006,0.755
CausalForest_min80_trees4000,50,34.513,1.552,0.009,0.0,0.009,0.009,0.94,0.023,0.003,0.018,0.003,0.054,0.006,0.761
CausalForest_min80_trees500,50,5.803,0.818,0.009,-0.0,0.009,0.009,0.94,0.023,0.003,0.018,0.003,0.054,0.007,0.747
