estimator,n_reps,runtime_mean_sec,runtime_sd_sec,ate_rmse,ate_bias_mean,ate_bias_sd,ate_stderr_mean,ate_coverage,cate_rmse_mean,cate_rmse_sd,cate_coverage_mean
BayesianCausalForest,50,258.679,9.454,0.01,-0.004,0.01,0.01,0.9,0.024,0.003,0.914
CausalForest,50,25.133,1.683,0.009,0.0,0.009,0.009,0.94,0.036,0.004,0.871
GbrDML,50,268.091,10.657,0.01,0.0,0.01,0.113,1.0,0.126,0.008,0.825
GbrDR,50,274.026,10.832,0.01,0.002,0.01,0.125,1.0,0.14,0.012,0.815
LassoDML,50,229.891,10.126,0.009,-0.0,0.01,0.008,0.88,0.026,0.007,0.369
LassoDR,50,234.455,10.61,0.01,0.002,0.01,0.009,0.88,0.026,0.006,0.398
LinearDML,50,2.188,0.095,0.009,-0.001,0.009,0.009,0.96,0.046,0.006,0.898
LinearDR,50,2.256,0.13,0.01,0.002,0.01,0.046,1.0,0.051,0.008,0.92
XLearner-GBR,50,160.444,4.439,0.024,-0.022,0.011,0.085,1.0,0.096,0.007,0.819
XLearner-Linear,50,118.399,4.07,0.024,-0.022,0.01,0.036,1.0,0.034,0.006,0.82
