rep,n,cvd_selected,cvd_rank,cvd_importance,pval_cvd,reject,topk_vars,error
28,20000,1,1.0,0.6569823800228952,6.649103223473822e-38,1,cvd_pre|age|Charlson|arf_renal_pre|opiods_pre|bld_thinner_pre|trt_prev_Other|Abiraterone_prev|trt_prev_ARPI|Enzalutamide_prev,
30,20000,1,1.0,0.657029274144528,6.343108993409653e-31,1,cvd_pre|age|Charlson|arf_renal_pre|smoker_copd_pre|bld_thinner_pre|trt_prev_Other|dementia_pre|anti_diab_pre|dm_pre,
31,20000,1,1.0,0.6542716609882623,1.6073614478578983e-35,1,cvd_pre|Charlson|age|mets_site_Visceral|dementia_pre|anti_arr_pre|smoker_copd_pre|bld_thinner_pre|Abiraterone_prev|opiods_pre,
67,20000,1,1.0,0.6535237253501557,1.0065072039130254e-32,1,cvd_pre|age|Charlson|mets_site_Visceral|htn_pre|Abiraterone_prev|trt_prev_Other|dm_pre|opiods_pre|dementia_pre,
88,20000,1,1.0,0.6581710692901986,3.888742121479409e-33,1,cvd_pre|Charlson|age|htn_pre|mets_site_Bone|smoker_copd_pre|race_cat|anti_diab_pre|mets_site_Visceral|arf_renal_pre,
0,20000,1,1.0,0.6601028873459757,9.058838125154354e-39,1,cvd_pre|age|Charlson|dm_pre|mets_site_Visceral|dementia_pre|bld_thinner_pre|mets_site_Bone|trt_prev_ARPI|anti_arr_pre,
32,20000,1,1.0,0.6578886144891903,4.3880836487597116e-36,1,cvd_pre|age|bld_thinner_pre|Charlson|dementia_pre|anti_arr_pre|opiods_pre|trt_prev_ADT_only|mets_site_Visceral|trt_prev_Other,
40,20000,1,1.0,0.6598873838999963,9.099856341734642e-32,1,cvd_pre|Charlson|age|dementia_pre|bld_thinner_pre|dm_pre|anti_arr_pre|any_infect_pre|trt_prev_ADT_only|mets_site_Bone,
49,20000,1,1.0,0.6566071805188575,3.041792804729992e-26,1,cvd_pre|Charlson|age|trt_prev_Other|opiods_pre|Abiraterone_prev|bld_thinner_pre|anti_arr_pre|htn_pre|trt_prev_ARPI,
59,20000,1,1.0,0.6530387572537389,9.593234312673463e-40,1,cvd_pre|age|Charlson|dm_pre|opiods_pre|dementia_pre|bld_thinner_pre|trt_prev_ARPI|smoker_copd_pre|trt_prev_ADT_only,
65,20000,1,1.0,0.6599929452140718,7.494919606901382e-38,1,cvd_pre|age|Charlson|mets_site_Visceral|any_infect_pre|trt_prev_ADT_only|dementia_pre|opiods_pre|bld_thinner_pre|anti_arr_pre,
66,20000,1,1.0,0.6541972081061106,1.713073140853718e-38,1,cvd_pre|age|Charlson|dementia_pre|bld_thinner_pre|anti_arr_pre|opiods_pre|smoker_copd_pre|mets_site_Bone|trt_prev_ARPI,
95,20000,1,1.0,0.6569918997364342,1.9769367463880284e-33,1,cvd_pre|Charlson|age|anti_arr_pre|dementia_pre|opiods_pre|mets_site_Bone|bld_thinner_pre|smoker_copd_pre|arf_renal_pre,
99,20000,1,1.0,0.6561453829858519,3.8691000742784265e-38,1,cvd_pre|age|Charlson|opiods_pre|arf_renal_pre|mets_site_Bone|anti_arr_pre|dementia_pre|trt_prev_ADT_only|bld_thinner_pre,
17,20000,1,1.0,0.6534786410079519,7.056537988673721e-34,1,cvd_pre|age|Charlson|arf_renal_pre|bld_thinner_pre|trt_prev_ADT_only|opiods_pre|dementia_pre|Abiraterone_prev|mets_site_Bone,
27,20000,1,1.0,0.6588783988423427,4.299676507835519e-37,1,cvd_pre|Charlson|age|smoker_copd_pre|dementia_pre|arf_renal_pre|dm_pre|trt_prev_ARPI|anti_arr_pre|mets_site_Visceral,
44,20000,1,1.0,0.6562273325711272,5.161996352359291e-42,1,cvd_pre|age|Charlson|smoker_copd_pre|mets_site_Visceral|bld_thinner_pre|opiods_pre|trt_prev_ADT_only|anti_arr_pre|htn_pre,
55,20000,1,1.0,0.6572492912056482,1.2994285146109104e-36,1,cvd_pre|Charlson|age|trt_prev_ADT_only|dementia_pre|dm_pre|trt_prev_ARPI|anti_arr_pre|opiods_pre|mets_site_Bone,
57,20000,1,1.0,0.660776392151437,1.0303842603268635e-30,1,cvd_pre|age|Charlson|any_infect_pre|trt_prev_Other|bld_thinner_pre|arf_renal_pre|dementia_pre|anti_arr_pre|mets_site_Visceral,
83,20000,1,1.0,0.6537284027706223,6.237799141003328e-30,1,cvd_pre|Charlson|age|bld_thinner_pre|arf_renal_pre|smoker_copd_pre|dementia_pre|anti_arr_pre|opiods_pre|trt_prev_ADT_only,
84,20000,1,1.0,0.6612057864604952,5.768029402830787e-32,1,cvd_pre|age|Charlson|Abiraterone_prev|smoker_copd_pre|trt_prev_Other|dementia_pre|anti_arr_pre|dm_pre|opiods_pre,
89,20000,1,1.0,0.659384626811685,6.2511940389009074e-34,1,cvd_pre|age|Charlson|any_infect_pre|Enzalutamide_prev|smoker_copd_pre|dementia_pre|opiods_pre|mets_site_Bone|Abiraterone_prev,
3,20000,1,1.0,0.6573011005050546,7.075502496352211e-39,1,cvd_pre|age|Charlson|dementia_pre|anti_arr_pre|htn_pre|opiods_pre|bld_thinner_pre|arf_renal_pre|dm_pre,
7,20000,1,1.0,0.6573028502683893,2.3121316262412353e-39,1,cvd_pre|age|Charlson|dementia_pre|bld_thinner_pre|Enzalutamide_prev|mets_site_Visceral|anti_arr_pre|mets_site_Bone|opiods_pre,
51,20000,1,1.0,0.6527380080101729,9.842792533430617e-38,1,cvd_pre|age|Charlson|bld_thinner_pre|mets_site_Visceral|opiods_pre|anti_arr_pre|smoker_copd_pre|dementia_pre|arf_renal_pre,
58,20000,1,1.0,0.6599903960585488,1.8595395860511354e-36,1,cvd_pre|age|Charlson|arf_renal_pre|dementia_pre|opiods_pre|mets_site_Bone|anti_arr_pre|bld_thinner_pre|dm_pre,
70,20000,1,1.0,0.6519606960537775,1.4261809954771368e-34,1,cvd_pre|age|Charlson|htn_pre|dementia_pre|anti_arr_pre|smoker_copd_pre|opiods_pre|mets_site_Other|trt_prev_ADT_only,
78,20000,1,1.0,0.653782379390667,2.7508011558900135e-34,1,cvd_pre|age|Charlson|opiods_pre|mets_site_Visceral|smoker_copd_pre|dementia_pre|arf_renal_pre|bld_thinner_pre|trt_prev_ADT_only,
86,20000,1,1.0,0.6586164869541329,4.046390936251745e-35,1,cvd_pre|Charlson|age|dementia_pre|arf_renal_pre|dm_pre|opiods_pre|mets_site_Bone|trt_prev_ADT_only|anti_diab_pre,
12,20000,1,1.0,0.6545498036789119,2.1822698151674413e-32,1,cvd_pre|Charlson|age|dementia_pre|bld_thinner_pre|opiods_pre|arf_renal_pre|htn_pre|anti_arr_pre|mets_site_Bone,
19,20000,1,1.0,0.6536667495536228,1.1902994896648991e-33,1,cvd_pre|age|Charlson|Abiraterone_prev|bld_thinner_pre|dementia_pre|opiods_pre|anti_arr_pre|mets_site_Visceral|arf_renal_pre,
23,20000,1,1.0,0.6568416936514946,3.760680415584826e-32,1,cvd_pre|Charlson|age|mets_site_Visceral|arf_renal_pre|smoker_copd_pre|any_infect_pre|anti_arr_pre|opiods_pre|dementia_pre,
